dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,7.290419,3.099274,6.650385,14.548433,15.483681,-15.951535,6.154010
0.010000,7.436198,3.080242,6.797401,14.701670,15.323693,-15.998818,6.152723
0.010000,7.583457,3.060827,6.945934,14.853303,15.163352,-16.034066,6.151490
0.010000,7.732179,3.041037,7.095968,15.003329,15.002646,-16.070657,6.150311
0.010000,7.882350,3.020878,7.247485,15.151745,14.841559,-16.108659,6.149190
0.010000,8.033953,3.000359,7.400471,15.298546,14.680063,-16.149632,6.148128
0.010000,8.186973,2.979487,7.554908,15.443726,14.518061,-16.200184,6.147126
0.010000,8.341396,2.958271,7.710781,15.587284,14.355779,-16.228199,6.146188
0.010000,8.497204,2.936721,7.868073,15.729214,14.192970,-16.280858,6.145314
0.010000,8.654385,2.914846,8.026768,15.869511,14.029719,-16.325147,6.144506
0.010000,8.812921,2.892657,8.186850,16.008171,13.866028,-16.369080,6.143767
0.010000,8.972799,2.870166,8.348302,16.145190,13.701886,-16.414200,6.143098
0.010000,9.134003,2.847385,8.511107,16.280563,13.537281,-16.460525,6.142501
0.010000,9.296518,2.824325,8.675250,16.414285,13.372187,-16.509350,6.141978
0.010000,9.460329,2.801000,8.840714,16.546351,13.206584,-16.560347,6.141529
0.010000,9.625422,2.777424,9.007481,16.676756,13.040548,-16.603565,6.141158
0.010000,9.791781,2.753610,9.175536,16.805496,12.873980,-16.656840,6.140866
0.010000,9.959392,2.729574,9.344862,16.932565,12.706905,-16.707462,6.140653
0.010000,10.128240,2.705331,9.515441,17.057958,12.539334,-16.757076,6.140523
0.010000,10.298310,2.680897,9.687258,17.181671,12.371243,-16.809113,6.140477
0.010000,10.421450,2.662756,9.811727,12.446931,-473.473985,-48584.522838,6.120711
0.010000,10.515375,2.645427,9.907237,9.550951,-289.598032,18387.595312,6.081474
0.010000,10.613850,2.623345,10.008158,10.092073,54.112236,34371.026844,6.044437
0.010000,10.717007,2.596295,10.114802,10.664474,57.240096,312.785930,6.009767
0.010000,10.824880,2.564120,10.227371,11.256863,59.238952,199.885647,5.977574
0.010000,10.937426,2.526726,10.345967,11.859549,60.268517,102.956517,5.947919
0.010000,11.054551,2.484087,10.470612,12.464547,60.499856,23.133875,5.920824
0.010000,11.176131,2.436238,10.601269,13.065708,60.116074,-38.378213,5.896279
0.010000,11.302032,2.383274,10.737857,13.658763,59.305538,-81.053647,5.874254
0.010000,11.432124,2.325339,10.880266,14.240903,58.213942,-109.159581,5.854705
0.010000,11.566293,2.262617,11.028372,14.810657,56.975442,-123.849980,5.837579
0.010000,11.704455,2.195327,11.182049,15.367693,55.703636,-127.180588,5.822823
0.010000,11.846556,2.123714,11.341175,15.912578,54.488424,-121.521211,5.810386
