dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,10.025060,6.760934,9.407453,16.725649,10.193388,-23.445372,6.141529
0.010000,10.191622,6.737148,9.575705,16.825244,9.959482,-23.390620,6.141158
0.010000,10.359140,6.713168,9.744930,16.922504,9.726035,-23.344663,6.140866
0.010000,10.527591,6.689012,9.915105,17.017435,9.493089,-23.294632,6.140653
0.010000,10.696955,6.664695,10.086205,17.110042,9.260667,-23.242200,6.140523
0.010000,10.867210,6.640235,10.258208,17.200329,9.028759,-23.190784,6.140477
0.010000,11.068492,6.610076,10.461737,20.352888,315.255919,30622.715944,6.120711
0.010000,11.316760,6.564327,10.714185,25.244792,489.190309,17393.439003,6.081474
0.010000,11.559795,6.509884,10.963244,24.905900,-33.889166,-52307.947458,6.044437
0.010000,11.797104,6.447709,11.208562,24.531773,-37.412684,-352.351777,6.009767
0.010000,12.028384,6.378773,11.449898,24.133565,-39.820801,-240.811768,5.977574
0.010000,12.253508,6.304017,11.687109,23.721141,-41.242445,-142.164375,5.947919
0.010000,12.472485,6.224336,11.920133,23.302395,-41.874582,-63.213695,5.920824
0.010000,12.685433,6.140561,12.148967,22.883350,-41.904505,-2.992303,5.896279
0.010000,12.892548,6.053460,12.373651,22.468495,-41.485478,41.902737,5.874254
0.010000,13.094081,5.963731,12.594257,22.060546,-40.794920,69.055810,5.854705
0.010000,13.290314,5.872014,12.810866,21.660909,-39.963719,83.120065,5.837579
0.010000,13.481546,5.778893,13.023566,21.269954,-39.095431,86.828812,5.822823
0.010000,13.668076,5.684903,13.232438,20.887197,-38.275755,81.967599,5.810386
0.010000,13.850194,5.590540,13.437551,20.511371,-37.582586,69.316920,5.800224
0.010000,14.028177,5.496269,13.638958,20.140709,-37.066157,51.642820,5.792300
0.010000,14.202276,5.402530,13.836689,19.773084,-36.762518,30.363905,5.786590
0.010000,14.372716,5.309743,14.030749,19.406010,-36.707419,5.509956,5.783080
0.010000,14.539694,5.218319,14.221117,19.036752,-36.925824,-21.840562,5.781771
0.010000,14.703369,5.128659,14.407741,18.662399,-37.435306,-50.948176,5.782679
0.010000,14.863867,5.041161,14.590540,18.279896,-38.250299,-81.499235,5.785835
0.010000,15.021273,4.956223,14.769401,17.886087,-39.380894,-113.059569,5.791284
0.010000,15.175632,4.874244,14.944178,17.477767,-40.831939,-145.104509,5.799090
0.010000,15.326943,4.795623,15.114696,17.051803,-42.596469,-176.452923,5.809331
0.010000,15.475160,4.720759,15.280747,16.605049,-44.675337,-207.886835,5.822100
0.010000,15.620189,4.650049,15.442095,16.134830,-47.021908,-234.657159,5.837505
0.010000,15.761887,4.583879,15.598482,15.638710,-49.612016,-259.010756,5.855665
0.010000,15.900067,4.522617,15.749634,15.115150,-52.355978,-274.396145,5.876708
0.010000,16.034502,4.466604,15.895270,14.563651,-55.149904,-279.392658,5.900763
0.010000,16.164931,4.416137,16.035123,13.985287,-57.836400,-268.649611,5.927955
0.010000,16.291085,4.371455,16.168956,13.383341,-60.194576,-235.817583,5.958390
0.010000,16.412703,4.332721,16.296594,12.763711,-61.963087,-176.851127,5.992149
0.010000,16.529570,4.300009,16.417952,12.135880,-62.783079,-81.999205,6.029261
0.010000,16.641559,4.273295,16.533083,11.513055,-62.282506,50.057303,6.069692
0.010000,16.748676,4.252458,16.642208,10.912508,-60.054643,222.786348,6.113320
0.010000,16.851110,4.237291,16.745759,10.355079,-55.742945,431.169818,6.159919
0.010000,16.949266,4.227537,16.844398,9.863969,-49.111023,663.192191,6.209150
0.010000,17.043781,4.222935,16.939026,9.462704,-40.126476,898.454630,6.260551
0.010000,17.135505,4.223270,17.030750,9.172419,-29.028490,1109.798665,0.030373
0.010000,17.225446,4.228426,17.120838,9.008838,-16.358067,1267.042246,0.084343
0.010000,17.314688,4.238417,17.210638,8.980029,-2.880956,1347.711126,0.138592
0.010000,17.404292,4.253398,17.301485,9.084707,10.467817,1334.877261,0.192443
0.010000,17.495194,4.273640,17.394615,9.312917,22.821038,1235.322110,0.245268
0.010000,17.588140,4.299485,17.491086,9.647178,33.426045,1060.500735,0.296527
0.010000,17.683637,4.331293,17.591742,10.065562,41.838463,841.241843,0.345788
0.010000,17.781960,4.369390,17.697188,10.544574,47.901185,606.272203,0.392740
0.010000,17.883169,4.414024,17.807801,11.061350,51.677542,377.635652,0.437185
0.010000,17.987147,4.465344,17.923755,11.595360,53.401050,172.350761,0.479023
0.010000,18.093661,4.523393,18.045060,12.130500,53.513958,11.290829,0.518242
0.010000,18.202395,4.588115,18.171599,12.653874,52.337420,-117.653756,0.554889
0.010000,18.312994,4.659362,18.303159,13.156056,50.218181,-211.923974,0.589060
0.010000,18.422700,4.734874,18.436342,13.318241,16.218502,-3399.967877,0.615321
0.010000,18.538407,4.819114,18.579466,14.312420,99.417931,8319.942919,0.643752
0.010000,18.648274,4.904163,18.718404,13.893864,-41.855616,-14127.354651,0.674279
0.010000,18.751938,4.989787,18.852858,13.445345,-44.851882,-299.626656,0.707049
